Period,Action,Volume,Current Price,Entry Price,Starting Balance,Ending Balance,Total Equity,Win Count,Loss Count
0,LONG ENTRY,12,26.129999,26.129999,12000000,11999686.440012,12000000.0,0,0
1,LONG ENTRY,12,25.719999,25.924999000000003,11999686.440012,11999377.800024,11999995.08,0,0
2,LONG ENTRY,12,25.959999,25.93666566666667,11999377.800024,11999066.280036,12000000.840000002,0,0
3,LONG ENTRY,12,26.4,26.05249925,11999066.280036,11998749.480036,12000016.680036,0,0
4,LONG ENTRY,12,26.52,26.1459994,11998749.480036,11998431.240036,12000022.440036,0,0
5,LONG ENTRY,12,26.42,26.191666166666668,11998431.240036,11998114.200036,12000016.440035999,0,0
6,LONG ENTRY,12,26.799999,26.27857085714286,11998114.200036,11997792.600048,12000043.799964,0,0
7,LONG ENTRY,12,26.049999,26.249999375,11997792.600048,11997480.00006,11999980.799964,0,0
8,LONG ENTRY,12,26.219999,26.246666,11997480.00006,11997165.360072,11999997.119964,0,0
9,LONG ENTRY,12,26.41,26.2629994,11997165.360072,11996848.440072,12000017.640072,0,0
10,LONG EXIT,12,26.66,26.2629994,11997168.360072,11997168.360072,12000367.560072,0,1
11,LONG EXIT,12,26.860001,26.2629994,11997490.680084,11997490.680084,12000391.560192,0,2
12,LONG EXIT,12,26.450001,26.2629994,11997808.080095999,11997808.080095999,12000347.280191999,0,3
13,LONG EXIT,12,26.08,26.2629994,11998121.040096,11998121.040096,12000311.760096,1,3
14,LONG EXIT,12,26.08,26.2629994,11998434.000096,11998434.000096,12000311.760096,2,3
15,LONG EXIT,12,26.370001,26.2629994,11998750.440108001,11998750.440108001,12000332.640168002,2,4
16,LONG EXIT,12,26.77,26.2629994,11999071.680108001,11999071.680108001,12000356.640108002,2,5
17,LONG EXIT,12,27.16,26.2629994,11999397.600108001,11999397.600108001,12000375.360108001,2,6
18,LONG EXIT,12,27.1,26.2629994,11999722.800108,11999722.800108,12000373.200108001,2,7
